city,admin_name,country,population,lat,lng
Lanzhou,Gansu,China,3067141,36.0606,103.8268
Ouagadougou,Centre,Burkina Faso,3063271,12.3686,-1.5275
Athens,Attikí,Greece,3059764,37.9842,23.7281
San Diego,California,United States,3057778,32.8313,-117.1222
Guatemala City,Guatemala,Guatemala,3014000,14.6417,-90.5133
Kuwait City,Al ‘Āşimah,Kuwait,2989000,29.3697,47.9783
Qincheng,Gansu,China,2984659,34.5815,105.7248
İzmir,İzmir,Turkey,2965900,38.4200,27.1400
Quezon City,Quezon,Philippines,2960048,14.6500,121.0475
Kyiv,Kyiv,Ukraine,2952301,50.4500,30.5233
Kottārasshēri,Kerala,India,2952254,10.7750,76.6510
Meishan,Sichuan,China,2950545,30.0771,103.8484
Incheon,Incheon,South Korea,2936117,37.4833,126.6333
Ningde,Fujian,China,2910000,26.6662,119.5477
Zhongshan,Guangdong,China,2909633,22.5170,113.3925
Minneapolis,Minnesota,United States,2906807,44.9635,-93.2678
Tampa,Florida,United States,2906035,27.9945,-82.4447
Putian,Fujian,China,2900000,25.4526,119.0078
Mbuji-Mayi,Kasaï Oriental,Congo (Kinshasa),2892000,-6.1500,23.6000
Tongliao,Inner Mongolia,China,2873168,43.6540,122.2430
Chaoyang,Liaoning,China,2872857,41.5710,120.4530
Hohhot,Inner Mongolia,China,2866615,40.8420,111.7490
Pyongyang,P’yŏngyang,North Korea,2863000,39.0167,125.7475
Shaoguan,Guangdong,China,2855131,24.8110,113.5970
Taichung,Taichung,Taiwan,2850285,24.1439,120.6794
Cali,Valle del Cauca,Colombia,2838333,3.4206,-76.5222
Heyuan,Guangdong,China,2837686,23.7443,114.7002
Wuzhou,Guangxi,China,2820977,23.4767,111.2790
Pretoria,Gauteng,South Africa,2818100,-25.7461,28.1881
Suining,Sichuan,China,2814196,30.5330,105.5930
Omdurman,Khartoum,Sudan,2805396,15.6835,32.4629
Weihai,Shandong,China,2804771,37.5133,122.1205
Rizhao,Shandong,China,2801013,35.4170,119.5270
Malang,Jawa Timur,Indonesia,2795209,-7.9800,112.6200
Stuttgart,Baden-Württemberg,Germany,2787724,48.7775,9.1800
Daqing,Heilongjiang,China,2781562,46.5890,125.1040
Rome,Lazio,Italy,2748109,41.8931,12.4828
Kaohsiung,Kaohsiung,Taiwan,2737660,22.6150,120.2975
Brooklyn,New York,United States,2736074,40.6501,-73.9496
Xiangtan,Hunan,China,2726181,27.8313,112.9454
Bazhou,Sichuan,China,2712894,31.8680,106.7480
Handan,Hebei,China,2708015,36.6010,114.4870
Brisbane,Queensland,Australia,2706966,-27.4678,153.0281
Jinzhou,Liaoning,China,2703853,41.1290,121.1480
Denver,Colorado,United States,2691349,39.7620,-104.8758
Xinzhou,Shanxi,China,2689668,38.4160,112.7340
Nanping,Fujian,China,2680645,26.6418,118.1774
Gāzipura,Dhaka,Bangladesh,2674697,23.9234,90.3959
Shanwei,Guangdong,China,2672819,22.7872,115.3756
Maracaibo,Zulia,Venezuela,2658355,10.6333,-71.6333
Chaozhou,Guangdong,China,2656600,23.6580,116.6220
Baotou,Inner Mongolia,China,2650364,40.6213,109.9532
Longyan,Fujian,China,2640000,25.0760,117.0170
Weifang,Shandong,China,2636154,36.7080,119.1620
Huai’an,Jiangsu,China,2632788,33.5510,119.1130
Zibo,Shandong,China,2631647,36.8138,118.0550
Attadappa,Kerala,India,2615266,11.8689,75.3555
Munich,Bavaria,Germany,2606021,48.1375,11.5750
Gulou,Fujian,China,2606000,26.0865,119.2980
Birmingham,Birmingham,United Kingdom,2590363,52.4800,-1.9025
Valencia,Carabobo,Venezuela,2585202,10.1833,-68.0000
Damascus,Dimashq,Syria,2584771,33.5020,36.2981
Chattogram,Chattogram,Bangladesh,2581643,22.3350,91.8325
Brazzaville,Brazzaville,Congo (Brazzaville),2557100,-4.2667,15.2667
Yangjiang,Guangdong,China,2555600,21.8570,111.9830
Sanaa,Amānat al ‘Āşimah,Yemen,2545000,15.3483,44.2064
Barmhān Kalān,Madhya Pradesh,India,2537000,19.1972,72.9722
Medellín,Antioquia,Colombia,2529403,6.2308,-75.5906
Dingxi,Gansu,China,2524097,35.6080,104.5920
Shaoxing,Zhejiang,China,2521964,30.0511,120.5833
Yantai,Shandong,China,2511053,37.4646,121.4478
Huizhou,Guangdong,China,2509243,23.1120,114.4160
Xuanzhou,Anhui,China,2500063,30.9390,118.7590
Mirzāpur,Uttar Pradesh,India,2496970,25.1460,82.5690
Hamburg,Hamburg,Germany,2496600,53.5500,10.0000
Taipei,Taipei,Taiwan,2494813,25.0375,121.5625
Ankang,Shaanxi,China,2493436,32.6854,109.0290
Zigong,Sichuan,China,2489256,29.3390,104.7790
Sanming,Fujian,China,2486450,26.2634,117.6389
Toluca,México,Mexico,2476689,19.2925,-99.6569
Huangshi,Hubei,China,2469079,30.2011,115.0390
Yaoundé,Centre,Cameroon,2440462,3.8667,11.5167
Zhuhai,Guangdong,China,2439585,22.2742,113.5719
Huludao,Liaoning,China,2434194,40.7110,120.8370
Baoshan,Yunnan,China,2431211,25.1120,99.1610
Mecca,Makkah al Mukarramah,Saudi Arabia,2427924,21.4225,39.8261
Vancouver,British Columbia,Canada,2426160,49.2500,-123.1000
Lianshan,Liaoning,China,2426000,40.7523,120.8280
Beirut,Beyrouth,Lebanon,2421354,33.8981,35.5058
Salvador,Bahia,Brazil,2417678,-12.9831,-38.4928
Bucharest,Bucureşti,Romania,2412530,44.4325,26.1039
Longba,Gansu,China,2407272,33.3702,104.9603
Nāgpur,Mahārāshtra,India,2405665,21.1497,79.0806
Queens,New York,United States,2405464,40.7498,-73.7976
Tieling,Liaoning,China,2388294,42.2237,123.7260
Yunfu,Guangdong,China,2383350,22.9152,112.0445
Bekasi,Jawa Barat,Indonesia,2381053,-6.2333,107.0000
Daegu,Daegu,South Korea,2376044,35.8717,128.6017
Ghāziābād,Uttar Pradesh,India,2375820,28.6700,77.4200
Luoyang,Henan,China,2372571,34.6197,112.4539
Luohe,Henan,China,2367490,33.5804,114.0166
Algiers,Alger,Algeria,2364230,36.7325,3.0872
Anshun,Guizhou,China,2353100,26.2531,105.9476
Huainan,Anhui,China,2333896,32.6314,117.0194
Depok,Jawa Barat,Indonesia,2330333,-6.3940,106.8225
Konya,Konya,Turkey,2320241,37.8667,32.4833
Haiphong,Hải Phòng,Vietnam,2310280,20.8651,106.6838
Yanjiang,Sichuan,China,2308631,30.1290,104.6270
Guangyuan,Sichuan,China,2305657,32.4360,105.8440
Baku,Bakı,Azerbaijan,2300500,40.3667,49.8352
Yingkou,Liaoning,China,2296540,40.6250,122.2190
Mudanjiang,Heilongjiang,China,2290208,44.5514,129.6329
Riverside,California,United States,2288508,33.9381,-117.3949
Fukuoka,Fukuoka,Japan,2286000,33.5900,130.4017
Nantong,Jiangsu,China,2261382,31.9810,120.8940
Lincang,Yunnan,China,2257991,23.8840,100.0890
Las Vegas,Nevada,United States,2256509,36.2333,-115.2654
Haikou,Hainan,China,2250000,20.0186,110.3488
Yuxi,Yunnan,China,2249502,24.3470,102.5270
Tangerang,Jawa Barat,Indonesia,2237006,-6.1703,106.6403
Supaul,Bihār,India,2229076,26.1260,86.6050
Almaty,Almaty,Kazakhstan,2228675,43.2400,76.9150
Vienna,Wien,Austria,2223236,48.2083,16.3725
Eşfahān,Eşfahān,Iran,2219343,32.6653,51.6703
Xining,Qinghai,China,2208708,36.6224,101.7804
Jincheng,Shanxi,China,2194545,35.4910,112.8520
Baltimore,Maryland,United States,2189589,39.3051,-76.6144
Dandong,Liaoning,China,2188436,40.1167,124.3833
Yan’an,Shaanxi,China,2187009,36.6500,109.4940
Qinbaling,Gansu,China,2179716,35.7091,107.6436
Gaoping,Sichuan,China,2174000,30.7824,106.1281
Awka,Anambra,Nigeria,2171900,6.2069,7.0678
Taizhou,Zhejiang,China,2162461,28.6557,121.4208
Ma’anshan,Anhui,China,2159930,31.6690,118.5070
Jiamusi,Heilongjiang,China,2156505,46.8000,130.3190
Perth,Western Australia,Australia,2141834,-31.9558,115.8597
Gaziantep,Gaziantep,Turkey,2130432,37.0628,37.3792
Phnom Penh,Phnom Penh,Cambodia,2129371,11.5696,104.9210
St. Louis,Missouri,United States,2127843,38.6359,-90.2451
Mogadishu,Banaadir,Somalia,2120000,2.0392,45.3419
Lishui,Zhejiang,China,2116957,28.4680,119.9230
Kowloon,,Hong Kong,2108419,22.3167,114.1833
Córdoba,Córdoba,Argentina,2106734,-31.4167,-64.1833
Zamboanga City,Zamboanga,Philippines,2100000,6.9042,122.0761
Rawalpindi,Punjab,Pakistan,2098231,33.6000,73.0333
Havana,La Habana,Cuba,2089532,23.1367,-82.3589
Chongzuo,Guangxi,China,2088692,22.3770,107.3650
Portland,Oregon,United States,2084045,45.5371,-122.6500
Laibin,Guangxi,China,2074611,23.7501,109.2212
San Antonio,Texas,United States,2069843,29.4632,-98.5238
Vadodara,Gujarāt,India,2065771,22.3000,73.2000
Qingyang,Fujian,China,2061600,24.7816,118.5517
Rājkot,Gujarāt,India,2043000,22.3000,70.7833
Shangzhou,Shaanxi,China,2041231,33.8734,109.9186
Vishākhapatnam,Andhra Pradesh,India,2035922,17.7042,83.2978
Shengli,Shandong,China,2035338,37.4340,118.6746
Sanmenxia,Henan,China,2034872,34.7732,111.2004
Warsaw,Mazowieckie,Poland,2028000,52.2300,21.0111
Gujranwala,Punjab,Pakistan,2027001,32.1567,74.1900
Hezhou,Guangxi,China,2007858,24.4042,111.5672
Aleppo,Ḩalab,Syria,2003671,36.2319,37.1681
Tijuana,Baja California,Mexico,2002000,32.5250,-117.0333
Puning,Guangdong,China,1998619,23.2980,116.1660
Indore,Madhya Pradesh,India,1994397,22.7167,75.8472
Minsk,Minsk,Belarus,1992862,53.9006,27.5586
Karaj,Alborz,Iran,1973470,35.8292,50.9675
Kananga,Kasaï Central,Congo (Kinshasa),1971704,-5.8970,22.4488
Huaibei,Anhui,China,1970265,33.9560,116.7980
Peshawar,Khyber Pakhtunkhwa,Pakistan,1970042,34.0144,71.5675
Sacramento,California,United States,1962998,38.5677,-121.4685
Sapporo,Hokkaidō,Japan,1959313,43.0619,141.3544
Tilburg,Noord-Brabant,Netherlands,1944588,51.5572,5.0911
Austin,Texas,United States,1915031,30.3005,-97.7522
Orlando,Florida,United States,1913597,28.4773,-81.3370
Davao,Davao,Philippines,1910167,7.0700,125.6000
Songjiang,Shanghai,China,1909713,31.0058,121.2333
Yinchuan,Ningxia,China,1901793,38.4850,106.2250
Abhepur,Haryāna,India,1895686,39.4100,116.3800
Thāne,Mahārāshtra,India,1886941,19.1972,72.9722
Multan,Punjab,Pakistan,1871843,30.1978,71.4697
Port Harcourt,Rivers,Nigeria,1865000,4.8242,7.0336
Fushun,Liaoning,China,1861372,41.8810,123.9570
Tainan,Tainan,Taiwan,1856642,22.9833,120.1833
Pingliang,Gansu,China,1848607,35.5424,106.6649
Siping,Jilin,China,1814733,43.1668,124.3506
San Juan,Puerto Rico,Puerto Rico,1809800,18.3985,-66.0610
Pingxiang,Jiangxi,China,1804805,27.6590,113.8870
Bhopāl,Madhya Pradesh,India,1798218,23.2599,77.4126
Mosul,Nīnawá,Iraq,1792000,36.3667,43.1167
Diyarbakır,Diyarbakır,Turkey,1791373,37.9100,40.2400
Lubumbashi,Haut-Katanga,Congo (Kinshasa),1786397,-11.6647,27.4794
Benin City,Edo,Nigeria,1780000,6.3333,5.6222
Curitiba,Paraná,Brazil,1773718,-25.4297,-49.2719
San Jose,California,United States,1771563,37.3012,-121.8480
Shuyangzha,Jiangsu,China,1770000,34.1299,118.7734
Adana,Adana,Turkey,1765981,37.0000,35.3213
Quito,Pichincha,Ecuador,1763275,-0.2200,-78.5125
Āgra,Uttar Pradesh,India,1760285,27.1800,78.0200
Peyanvilai,Tamil Nādu,India,1750176,8.9000,77.9833
Lusaka,Lusaka,Zambia,1747152,-15.4167,28.2833
Indianapolis,Indiana,United States,1740984,39.7771,-86.1458
Hyderabad City,Sindh,Pakistan,1732693,25.3792,68.3683
Pimpri-Chinchwad,Mahārāshtra,India,1729320,18.6186,73.8037
Maracay,Aragua,Venezuela,1723236,10.2469,-67.5961
Masqaţ,Masqaţ,Oman,1720000,23.6140,58.5911
Montevideo,Montevideo,Uruguay,1719453,-34.9056,-56.1842
Pittsburgh,Pennsylvania,United States,1712828,40.4397,-79.9763
Cincinnati,Ohio,United States,1704916,39.1413,-84.5060
Manhattan,New York,United States,1694263,40.7834,-73.9662
Kansas City,Missouri,United States,1686807,39.1238,-94.5541
Budapest,Budapest,Hungary,1686222,47.4983,19.0408
Patna,Bihār,India,1684222,25.5940,85.1376
Kampala,Kampala,Uganda,1680600,0.3136,32.5811
Beihai,Guangxi,China,1680000,21.4810,109.1200
Sanzhou,Chongqing,China,1680000,30.8200,108.4000
Cleveland,Ohio,United States,1679247,41.4764,-81.6805
